Movie_Name,URL,Director,Producer,Writer,Casting,Music By,Budget,Box Office
Kabhi Kabhie,https://wikipedia.org/wiki/Kabhi_Kabhie,Yash Chopra,Yash Chopra,,Amitabh BachchanRaakhee GulzarShashi KapoorWaheeda RehmanRishi KapoorNeetu Singh,Khayyam,,est. ₹40 million[2]
Missing,https://wikipedia.org/wiki/Missing_(1984_film),,,,,,,
Shahenshah,https://wikipedia.org/wiki/Shahenshah,,,,,,,
Darna Zaroori Hai,https://wikipedia.org/wiki/Darna_Zaroori_Hai,Sajid KhanRam Gopal VarmaPrawaal RamanVivek ShahJiji PhilipJ. D. ChakravarthyManish Gupta,Ram Gopal Varma {Satish kaushik},Sajid KhanPrawaal RamanAshish DeoNikhil MishraManish Gupta,Amitabh BachchanAnil KapoorSunil ShettyArjun RampalRiteish DeshmukhBipasha BasuRandeep HoodaMallika SherawatRajpal YadavSonali KulkarniMakarand Deshpande,Salim–SulaimanNitin Raikwar,₹8.75 crore[1],₹10.65 crore[1]
Maachis,https://wikipedia.org/wiki/Maachis,Gulzar,R. V. Pandit,Gulzar,Chandrachur SinghTabuOm PuriJimmy Sheirgill,Vishal Bhardwaj,₹20 million[1],est. ₹63.6 million[1]
Karz,https://wikipedia.org/wiki/Karz_(1980_film),Subhash Ghai,Akhtar FarooquiJagjit Khurana,Dr. Rahi Masoom Reza(dialogue),Rishi KapoorTina MunimSimi GarewalRaj KiranPranPinchoo KapoorMac Mohan,Laxmikant–PyarelalAnand Bakshi (Lyrics),₹15.3 million[1],₹39 million[1]
Guest iin London,https://wikipedia.org/wiki/Guest_iin_London,Ashwni Dhir,Kumar Mangat PathakAbhishek PathakAhan AgarwalNishant Pitti,Ashwni DhirRobin Bhatt,Kartik AaryanKriti KharbandaParesh RawalTanvi Azmi,Songs:Raghav SacharAmit MishraBackground Score:Amar Mohile,,est. ₹10.64 crore (US$1.3 million)[domestic][2]
Hate Story 2,https://wikipedia.org/wiki/Hate_Story_2,Vishal Pandya,Bhushan KumarKrishan Kumar,Girish Dhamija (dialogues),Sushant SinghSurveen ChawlaJay BhanushaliSiddharth Kher,Songs:ArkoLaxmikant–PyarelalMeet Bros AnjjanRashid KhanMithoonSumit Sethi  PrinceScore:Sunny and Inder Bawra,₹15 crore[1],₹31.07 crore[2]
Love Sonia,https://wikipedia.org/wiki/Love_Sonia,Tabrez Noorani,David Womark,Alkesh Vaja,"Mrunal Thakur
Freida Pinto
Demi Moore
Mark Duplass
Manoj Bajpayee
Rajkummar Rao
Richa Chadda
Riya Sisodiya
Anupam Kher
Adil Hussain
Sai Tamhankar
Sunny Pawar",A. R. Rahman,,
Dharam Sankat Mein,https://wikipedia.org/wiki/Dharam_Sankat_Mein,Fuwad Khan,Sajjad ChunawalaShariq Patel,Screenplay & Dialogues:Sanjay SharmaVijay DesaiVedishAlpesh Dixit,Paresh RawalNaseeruddin ShahAnnu Kapoor,Songs:  Meet Bros Anjjan  Jatinder Shah  Sachin Gupta  Background Score:  Sachin Gupta,,
Karma,https://wikipedia.org/wiki/Karma_(1986_film),Subhash Ghai,Subhash Ghai,Sachin BhowmickSubhash GhaiKader Khan,Dilip KumarNutanJackie ShroffAnil KapoorNaseeruddin ShahAnupam KherSrideviPoonam Dhillon,Laxmikant-Pyarelal,₹26.5 million[1],₹130 million[1]
Paharganj,https://wikipedia.org/wiki/Paharganj,,,,,,,
Beta,https://wikipedia.org/wiki/Beta_(1992_film),Indra Kumar,Indra KumarAshok Thakeria,Kamlesh Pandey (dialogues)Naushir Khatau,Anil KapoorMadhuri DixitAruna Irani,Songs:Anand–MilindIlaiyaraajaShankar–GaneshDilip Sen–Sameer SenAmar–UtpalNaresh SharmaBackground Score:Vanraj Bhatia,,₹23.5 crore[1]
Hotel Salvation,https://wikipedia.org/wiki/Hotel_Salvation,Shubhashish Bhutiani,Sanjay BhutianiSajida SharmaShubhashish Bhutiani,,"Adil Hussain
Lalit Behl
Geetanjali Kulkarni
Palomi Ghosh
Navnindra Behl
Anil K Rastogi",Tajdar Junaid[1],,
Halla Bol,https://wikipedia.org/wiki/Halla_Bol,Rajkumar Santoshi,Abdol Samee Siddiqui,,Ajay DevgnVidya Balan,Sukhwinder Singh,₹ 270 million[1],₹ 193.9 million[1]
International Khiladi,https://wikipedia.org/wiki/International_Khiladi,Umesh Mehra,Keshu Ramsay,Umesh MehraVed Prakash Sharma,Akshay KumarTwinkle Khanna,Aadesh Shrivastava,₹7.75 crore (equivalent to ₹33 crore or US$4.0 million in 2023)[1],"₹16,19,37,500 (equivalent to ₹700 million or US$8.3 million in 2023)[1]"
Kuch Naa Kaho,https://wikipedia.org/wiki/Kuch_Naa_Kaho,Rohan Sippy,Ramesh Sippy,,Aishwarya RaiAbhishek BachchanArbaaz Khan,Songs:Shankar–Ehsaan–LoyBackground Score:Aadesh ShrivastavaUday Mazumdar,₹8 crore[1],₹13.08 crore[2]
Krantiveer,https://wikipedia.org/wiki/Krantiveer,Mehul Kumar,Mehul Kumar,K. K. Singh,Nana PatekarDimple KapadiaAtul AgnihotriMamta Kulkarni,Anand–Milind,₹30 million[1],₹206.7 million[1]
To Kill a Tiger,https://wikipedia.org/wiki/To_Kill_a_Tiger,Nisha Pahuja,David OppenheimNisha PahujaCornelia Principe,Nisha Pahuja,,Jonathan Goldsmith,,
Phir Milenge,https://wikipedia.org/wiki/Phir_Milenge,,,,,,,
UT69,https://wikipedia.org/wiki/UT69,Shahnawaz Ali,Kripa Jaising,Vikram Bhatti,"Raj Kundra
Kumar Saurabh
Ganesh Deokar",,,
Axone,https://wikipedia.org/wiki/Axone,,,,,,,
Maya Memsaab,https://wikipedia.org/wiki/Maya_Memsaab,Ketan Mehta,Ketan Mehta,Sitanshu Yashaschandra (screenplay)Ketan Mehta (screenplay) Hriday Lani (dialogue)Gulan Kriplani (Maya's monologues),Deepa Sahi Farooq ShaikhRaj BabbarShah Rukh KhanParesh Rawal,Hridaynath MangeshkarGulzar (lyrics),,est. ₹1.85 crore (equivalent to ₹13 crore or US$1.6 million in 2023) 1.85 crore[1]
Shakti,https://wikipedia.org/wiki/Shakti_(1982_film),Ramesh Sippy,Mushir-Riaz,Salim–Javed,Dilip KumarAmitabh BachchanRakhee GulzarSmita PatilKulbhushan KharbandaAmrish Puri,R.D. Burman,,
Knock Out,https://wikipedia.org/wiki/Knock_Out_(2010_film),Mani Shankar,Sohail Maklai,Mani Shankar,Sanjay DuttIrfan KhanKangana RanautGulshan GroverRukhsar RehmanSushant SinghAbdullah Jaidi,Gourov DasguptaVishal Dadlani (lyrics)Panchhi Jalonvi (lyrics)Shellee (lyrics),,"₹62 million (US$740,000)"
Behen Hogi Teri,https://wikipedia.org/wiki/Behen_Hogi_Teri,Ajay K Pannalal,Tonny D'souzaAmul Vikas MohanNitin Upadhyaya,Ajay K PannalalVinit Vyas,Rajkummar RaoShruti Haasan,SongsYash NarvekarAmjad-NadeemKaushik-Akash-Guddu(JAM8) Jaidev KumarR. D. BurmanRishi RichBackground MusicJaidev Kumar,,₹2.76 crore[2]
India's Most Wanted,https://wikipedia.org/wiki/India's_Most_Wanted_(film),Raj Kumar Gupta,Fox Star StudiosRaj Kumar GuptaMyra Karn,Raj Kumar Gupta,Arjun Kapoor,Amit Trivedi,₹37 crore (US$5.25 million)[3],est. ₹16.74 crore (US$2.38 million)[4]
Mr. X,https://wikipedia.org/wiki/Mr_X_(2015_film),,,,,,,
MP3: Mera Pehla Pehla Pyaar,https://wikipedia.org/wiki/MP3:_Mera_Pehla_Pehla_Pyaar,Robbie Grewal,,Robbie GrewalSameer Kohli,Ruslaan MumtazHazel Crowney,Ashutosh Phatak – Dhruv Ghanekar,,
Prince,https://wikipedia.org/wiki/Prince_(2009_film),,,,,,,
Minus 31: The Nagpur Files,https://wikipedia.org/wiki/Minus_31:_The_Nagpur_Files,Pratik Moitro,Pratik Moitro,,"Rucha Inamdar
Shivankit Singh Parihar
Raghubir Yadav
Rajesh Sharma
Santosh Juvekar
Jaya Bhattacharya",Udayan Dharmadhikari,,
99 Songs,https://wikipedia.org/wiki/99_Songs,Vishwesh Krishnamoorthy,A. R. Rahman,,Ehan BhatEdilsy Vargas,A. R. Rahman,,
Heroes,https://wikipedia.org/wiki/Heroes_(2008_film),Samir Karnik,Bharat ShahVikas KapoorSamir Karnik,,Salman KhanSunny DeolBobby DeolPreity ZintaMithun ChakrabortySohail KhanVatsal ShethDino Morea Amrita Arora,Sajid–WajidMonty Sharma,₹18 crore[1],₹25.44 crore[1]
Jism,https://wikipedia.org/wiki/Jism,,,,,,,
Major Saab,https://wikipedia.org/wiki/Major_Saab,Tinnu Anand,Amitabh Bachchan,Robin BhattSanthosh Saroj,Amitabh BachchanAjay DevgnSonali BendreNafisa Ali,Songs:Anand Raaj AnandAadesh Shrivastava (Sona Sona)Score:Aadesh Shrivastava,,₹18 crore[1]
Aankhen,https://wikipedia.org/wiki/Aankhen_(2002_film),Vipul Amrutlal Shah,Gaurang Doshi,,Amitabh BachchanAkshay KumarArjun RampalSushmita SenParesh RawalAditya Pancholi,Jatin–LalitAadesh ShrivastavaNitin Raikwar,,₹33.8 crore[1]
Bumboo,https://wikipedia.org/wiki/Bumboo,Jagdish Rajpurohit,RCL Motion Pictures,,Kavin DaveSharat SaxenaSanjay Mishra,Original SongsSantokh Singh DhaliwalFaiz Ur RehmanOriginal ScoreDhruv Dalla,,₹0.39 crore[1]
Sehar,https://wikipedia.org/wiki/Sehar_(2005_film),Kabeer Kaushik,Ashwin Patel,Kabeer Kaushik,Arshad WarsiMahima ChaudhrySushant SinghPankaj Kapur,Daniel B George,₹40 million[1],₹200.40 million[1]
Crook: It's Good to Be Bad,https://wikipedia.org/wiki/Crook:_It's_Good_to_Be_Bad,,,,,,,
