Movie_Name,URL,Director,Producer,Writer,Casting,Music By,Budget,Box Office
It's Entertainment,https://wikipedia.org/wiki/It%27s_Entertainment,Sajid-Farhad,Ramesh S. Taurani,Sajid-Farhad,"Akshay Kumar
Tamannaah Bhatia
Mithun Chakraborty
Sonu Sood
Krushna Abhishek
Johnny Lever
Prakash Raj","Sachin–Jigar (songs, background score)
White Noise Productions (background score)",₹88 crore[1],₹115.93 crore[2]
Ab Tak Chhappan,https://wikipedia.org/wiki/Ab_Tak_Chhappan,Shimit Amin,Ram Gopal Varma,Sandeep Shrivastava,Nana Patekar  Mohan Agashe Revathi Prasad PurandareHrishitaa Bhatt,Salim–Sulaiman (background score),,
Parineeta,https://wikipedia.org/wiki/Parineeta_(2005_film),Pradeep Sarkar,Vidhu Vinod Chopra,Story Adaptation & Screenplay:Vidhu Vinod ChopraPradeep SarkarArnav ChakravartiDialogues:Rekha Nigam,Sanjay DuttSaif Ali KhanVidya BalanRaima SenDia MirzaSabyasachi Chakrabarty,Shantanu Moitra,,₹32.63 crore[2]
Patiala House,https://wikipedia.org/wiki/Patiala_House,,,,,,,
Kaagaz,https://wikipedia.org/wiki/Kaagaz_(2021_film),,,,,,,
Made in China,https://wikipedia.org/wiki/Made_in_China_(film),,,,,,,
Agneepath,https://wikipedia.org/wiki/Agneepath_(2012_film),Karan Malhotra,Hiroo Yash JoharKaran Johar,Screenplay:Karan MalhotraIla Dutta BediDialogues:Piyush Mishra,Hrithik RoshanSanjay DuttRishi KapoorPriyanka Chopra,Ajay–Atul,₹58 crore[2],est. ₹193 crore[3]
Yuva,https://wikipedia.org/wiki/Yuva_(film),,,,,,,
India Lockdown,https://wikipedia.org/wiki/India_Lockdown,Madhur Bhandarkar,Jayantilal GadaMadhur BhandarkarPranav Jain,Amit JoshiAradhana Sah,"Shweta Basu Prasad
Aahana Kumra
Prateik Babbar
Sai Tamhankar
Prakash Belawadi",,,
Himmatwala,https://wikipedia.org/wiki/Himmatwala_(2013_film),Sajid Khan,"Ronnie Screwvala
Vashu Bhagnani","Sajid Khan (story, screenplay)
Sajid-Farhad (dialogues)","Ajay Devgn
Tamannaah Bhatia
Paresh Rawal
Mahesh Manjrekar
Leena Jumani
Adhyayan Suman
Zarina Wahab
Anil Dhawan","Bappi Lahiri (original songs)
Sajid–Wajid (recreated, original songs)
Sachin–Jigar (guest)
Sandeep Shirodkar (background score)",₹68 crore[2],₹68.87 crore[3]
Sui Dhaaga,https://wikipedia.org/wiki/Sui_Dhaaga,Sharat Katariya,Maneesh SharmaAditya Chopra,Sharat Katariya,Anushka SharmaVarun Dhawan,Songs:Anu MalikBackground Score:Andrea Guerra,₹48 crore[2],₹125.09 crore[3]
Manmarziyaan,https://wikipedia.org/wiki/Manmarziyaan,Anurag Kashyap,"Aanand L. Rai
Vikas Bahl
Vikramaditya Motwane
Madhu Mantena
Anurag Kashyap
Kishore Lulla",Kanika Dhillon,"Abhishek Bachchan
Taapsee Pannu
Vicky Kaushal",Amit Trivedi,,est. ₹40.39 crore[2]
Jaan-E-Mann: Lets Fall in Love Again,https://wikipedia.org/wiki/Jaan-E-Mann:_Let's_Fall_in_Love_Again,,,,,,,
Hulchul,https://wikipedia.org/wiki/Hulchul_(2004_film),Priyadarshan,Ganesh JainRatan Jain,"Neeraj Vora (Screenplay)
Siddique–Lal (Story)
K. P. Saxena (Dialogues)","Akshaye Khanna
Kareena Kapoor
Suniel Shetty
Jackie Shroff
Arbaaz Khan
Arshad Warsi
Paresh Rawal
Amrish Puri
Asrani
Manoj Joshi
Shakti Kapoor",Songs:VidyasagarScore:Surinder Sodhi,₹10 crore[1],₹32.86 crore[1]
Rehnaa Hai Terre Dil Mein,https://wikipedia.org/wiki/Rehnaa_Hai_Terre_Dil_Mein,Gautham Vasudev Menon,Vashu Bhagnani,Gautham Vasudev MenonVipul D. Shah,R. MadhavanSaif Ali KhanDia Mirza,Harris Jayaraj,₹6 crore[1],₹10.17 crore[1]
Ajnabee,https://wikipedia.org/wiki/Ajnabee,,,,,,,
Awara Paagal Deewana,https://wikipedia.org/wiki/Awara_Paagal_Deewana,Vikram Bhatt,A. G. NadiadwalaFiroz A. Nadiadwala,Anand VardhanMangesh Kulkarni (Story & Screenplay)Neeraj Vora (Dialogues),"Akshay Kumar
Sunil Shetty
Aftab Shivdasani
Paresh Rawal
Preeti Jhangiani
Aarti Chhabria
Amrita Arora
Johnny Lever
Rahul Dev",Anu MalikFranco Vaz(score),₹13 crore [1],₹27.5 crore [1]
Singh Is Bliing,https://wikipedia.org/wiki/Singh_Is_Bliing,Prabhu Deva,Ashvini Yardi,Chintan Gandhi,Akshay KumarAmy JacksonLara DuttaKay Kay MenonKunal KapoorArfi Lamba,Songs:Meet Bros AnjjanManj MusikSajid–WajidSneha KhanwalkarBackground Score:Sandeep Shirodkar,₹70 crore[2],est. ₹149.10 crore[3]
Khoobsurat,https://wikipedia.org/wiki/Khoobsurat_(2014_film),Shashanka Ghosh[1],Rhea KapoorAnil KapoorSiddharth Roy Kapur[1],Indira BishtJuhi Chaturvedi,Sonam KapoorFawad Khan[2],Songs:Sneha KhanwalkarBadshahAmaal MallikBackground Score:Simaab Sen,₹23 crore (US$2.8 million)[4],est. ₹79.43 crore (US$9.5 million)[5]
Golmaal Returns,https://wikipedia.org/wiki/Golmaal_Returns,Rohit Shetty,Dhilin Mehta,Screenplay:Yunus SajawalDialogues:Farhad-Sajid,Ajay DevgnKareena KapoorArshad WarsiShreyas TalpadeTusshar KapoorAmrita AroraCelina JaitleyAnjana Sukhani,Songs:PritamBackground Score:Sanjoy Chowdhury,₹25 crore,₹80 crore[2]
Babli Bouncer,https://wikipedia.org/wiki/Babli_Bouncer,Madhur Bhandarkar,"Vineet Jain
Amrita Pandey","Amit Joshi
Aradhana Debnath
Madhur Bhandarkar","Tamannaah Bhatia
Abhishek Bajaj
Sahil Vaid
Saanand Verma","Tanishk Bagchi
Karan Malhotra",,
Love Per Square Foot,https://wikipedia.org/wiki/Love_Per_Square_Foot,Anand Tiwari,Ronnie Screwvala,Story & Screenplay:Anand TiwariSumeet VyasDialogues:Sumeet VyasAdditional Dialogues:Asif Ali Beg,Vicky KaushalAngira DharAlankrita SahaiRatna Pathak ShahSupriya Pathak,Songs:Sohail SenScore:Sohail SenAnand Bajpai,,
De De Pyaar De,https://wikipedia.org/wiki/De_De_Pyaar_De,Akiv Ali,Bhushan KumarKrishan KumarLuv RanjanAnkur Garg,Luv RanjanTarun Jain,Ajay DevgnTabuRakul Preet Singh,Songs:Amaal MallikRochak KohliTanishk BagchiVipin PatwaManj MusikScore:Hitesh Sonik,₹500 million[3][4],₹1.43 billion[5]
Sandeep Aur Pinky Faraar,https://wikipedia.org/wiki/Sandeep_Aur_Pinky_Faraar,Dibakar Banerjee,Dibakar Banerjee,Dibakar BanerjeeVarun Grover,Parineeti Chopra  Arjun Kapoor,Score:Dibakar BanerjeeSongs:Anu Malik  Dibakar Banerjee  Narendra Chandra  Kamlesh Haripuri,₹20 crore[2],₹58.125 lakhs[2]
Rocky Handsome,https://wikipedia.org/wiki/Rocky_Handsome,Nishikant Kamat,John AbrahamSunir Khetrapal,Ritesh Shah,John AbrahamShruti HaasanNathalia KaurNishikant KamatDiya ChalwadUday TikekarSharad KelkarTeddy Maurya,Songs and Score:Sunny and Inder BawraGuest Composers:Ankit TiwariBombay Rockers,₹200 million[1],₹350 million[2]
No Smoking,https://wikipedia.org/wiki/No_Smoking_(film),,,,,,,
Mard Ko Dard Nahin Hota,https://wikipedia.org/wiki/Mard_Ko_Dard_Nahin_Hota,,,,,,,
Kathal: A Jackfruit Mystery,https://wikipedia.org/wiki/Kathal:_A_Jackfruit_Mystery,,,,,,,
Shaitan,https://wikipedia.org/wiki/Shaitan_(film),Bejoy Nambiar,Anurag KashyapSunil BohraGuneet Monga,,Rajeev Khandelwal Rajkummar Rao Prachi JainKalki KoechlinPawan MalhotraShiv PandittGulshan DevaiahNeil BhoopalamKirti KulhariRukhsaar RehmanRajit KapoorSheetal Menon,Prashant PillaiAmar MohileRanjit BarotAnupam RoyBhayanak MautMikey McCleary,₹110 million (US$1.3 million),₹397.6 million (US$4.8 million)
Dishoom,https://wikipedia.org/wiki/Dishoom_(film),Rohit Dhawan,Sajid Nadiadwala,Story and Screenplay:Rohit DhawanTushar HiranandaniDialogues:Hussain Dalal,John AbrahamVarun DhawanJacqueline FernandezAkshaye KhannaSaqib Saleem,Songs:PritamScore:Abhijit Vaghani,₹55 crore[2],est. ₹119.58 crore[3]
Mughal-E-Azam,https://wikipedia.org/wiki/Mughal-E-Azam,K. Asif,K. Asif,AmanKamal AmrohiK. AsifWajahat MirzaEhsan Rizvi,Prithviraj KapoorDilip KumarMadhubalaDurga Khote,Naushad,₹10.5–15 million,est. ₹110 million (India)[1]
PM Narendra Modi,https://wikipedia.org/wiki/PM_Narendra_Modi,Omung Kumar,Suresh OberoiSandip SinghAnand PanditAcharya ManishZafar Mehdi,Dialogues:Anirudh ChawlaVivek OberoiHaarsh Limbachiyaa,Vivek Oberoi,Songs:Shashi-KhuhiHitesh ModakScore:Hitesh Modak,"₹8
 crore[4]","₹28
.51 crore"
Veer,https://wikipedia.org/wiki/Veer_(2010_film),Anil Sharma,Vijay Galani,,Salman KhanMithun ChakrabortyJackie ShroffZareen KhanSohail Khan,Score:  Monty Sharma  Songs:  Sajid–Wajid,₹48 crore,est. ₹64.60 crore
Humshakals,https://wikipedia.org/wiki/Humshakals,Sajid Khan,Vashu Bhagnani,Sajid Khan,"Saif Ali Khan
Riteish Deshmukh
Ram Kapoor
Tamannaah Bhatia
Esha Gupta
Bipasha Basu","Himesh Reshammiya (songs)
Sandeep Shirodkar (background score)",₹64 crore[1],₹86.60 crore[2]
Manorama: Six Feet Under,https://wikipedia.org/wiki/Manorama:_Six_Feet_Under,,,,,,,
Mohra,https://wikipedia.org/wiki/Mohra_(1994_film),Rajiv Rai,Gulshan Rai,Rajiv RaiShabbir Boxwala,"Naseeruddin Shah
Akshay Kumar
Sunil Shetty
Raveena Tandon
Poonam Jhawer
Raza Murad
Paresh Rawal
Gulshan Grover
Sadashiv Amrapurkar",Viju Shah,₹3.75 crore[1],₹22.65 crore (equivalent to ₹149 crore or US$18 million in 2023)[1]
Sir,https://wikipedia.org/wiki/Sir_(1993_film),Mahesh Bhatt,Mukesh Bhatt,Jay Dixit,Atul AgnihotriPooja BhattNaseeruddin ShahParesh Rawal,Anu Malik,,
I Hate Luv Storys,https://wikipedia.org/wiki/I_Hate_Luv_Storys,Punit Malhotra,Hiroo Yash JoharKaran JoharRonnie Screwvala,Punit Malhotra,Imran KhanSonam Kapoor,Songs:Vishal–ShekharBackground Score:Salim–Sulaiman[1],₹25 crore (US$3.0 million)[3],₹72.52 crore (US$8.7 million)[4]
Mukkabaaz,https://wikipedia.org/wiki/Mukkabaaz,Anurag Kashyap,"Aanand L. Rai
Vikramaditya Motwane
Madhu Mantena
Anurag Kashyap","Anurag Kashyap
Vineet Kumar Singh
Mukti Singh Srinet
K.D.Satyam
Ranjan Chandel
Prasoon Mishra","Vineet Kumar Singh
Zoya Hussain
Jimmy Sheirgill
Ravi Kishan",Score:Prashant PillaiSongs:NucleyaRachita AroraVineet Kumar Singh,,₹10.51 crore[1]
13B: Fear Has a New Address,https://wikipedia.org/wiki/13B:_Fear_Has_a_New_Address,Vikram Kumar,"Suresh Balaje
George Pius
Rajesh Sawhney",Vikram Kumar  Abhinav Kashyap (Hindi),"R. Madhavan
Neetu Chandra
Sachin Khedekar
Deepak Dobriyal
Ravi Babu
Murali Sharma",Songs:Shankar–Ehsaan–Loy  Background Score:  Tubby-Parik,₹12 crore[2],₹23 crore[2][3]
Chillar Party,https://wikipedia.org/wiki/Chillar_Party,Vikas BahlNitesh Tiwari,Salman KhanRonnie Screwvala,Story:  Vikas BahlNitesh Tiwari  Screenplay & Dialogues:  Vijay Maurya,Shriya Sharma  Sanath Menon  Rohan GroverNaman JainAarav KhannaVishesh Tiwari  Shashank Shende,Amit Trivedi,,
Phir Bhi Dil Hai Hindustani,https://wikipedia.org/wiki/Phir_Bhi_Dil_Hai_Hindustani,Aziz Mirza,Shah Rukh KhanJuhi ChawlaAziz Mirza,Sanjay Chhel (story idea & dialogues),Shah Rukh KhanJuhi Chawla,Jatin–Lalit,₹13 crores[1],₹25.46 crores[2]
Guide,https://wikipedia.org/wiki/Guide_(1965_film),Vijay Anand,Dev Anand,Vijay Anand,"Dev Anand
Waheeda Rehman",S. D. Burman,₹6 million[2],
Raabta,https://wikipedia.org/wiki/Raabta,,,,,,,
Bad Boy,https://wikipedia.org/wiki/Bad_Boy_(2023_film),Rajkumar Santoshi,Anjum QureshiSajid Qureshi,SanjeevRanjit Kapoor,Namashi ChakraborthyAmrin QureshiDarshan JariwalaJohny Lever,Songs:Himesh ReshammiyaScore:Raju Singh,,
Kill,https://wikipedia.org/wiki/Kill_(2022_film),,,,,,,
Duplicate,https://wikipedia.org/wiki/Duplicate_(1998_film),Mahesh Bhatt,Yash Johar,Robin BhattAkash KhuranaJaved Siddiqi,Shah Rukh KhanJuhi ChawlaSonali Bendre,Songs:Anu MalikScore:Louis Banks,₹9.5 crore (equivalent to ₹43 crore or US$5.1 million in 2023)[1],₹21.49 crore (equivalent to ₹97 crore or US$12 million in 2023)[2]
MSG 2 the Messenger,https://wikipedia.org/wiki/MSG_2:_The_Messenger,Gurmeet Ram Rahim SinghJeetu Arora,,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim SinghArpit RankaHoneypreet InsanCharanPreetShan-E-MeetRooh-E-MeetRohit KhuranaKaynat ToorSukhwinder SinghAman Walia,Abhijit Vaghani,₹30 crore[1],est.Disputed[1][2]
Khiladi,https://wikipedia.org/wiki/Khiladi_(1992_film),Abbas Mustan,Girish JainChampak Jain,Naeem-EjazAadesh K. Arjun (dialogues),Akshay KumarAyesha JhulkaDeepak TijoriSabeeha,Jatin–Lalit,,est.₹4 crore[2]
Gandhi Godse Ek Yudh,https://wikipedia.org/wiki/Gandhi_Godse_Ek_Yudh,,,,,,,
Delhi-6,https://wikipedia.org/wiki/Delhi-6,Rakesh Omprakash Mehra,Rakesh Omprakash MehraRonnie Screwvala,,Abhishek Bachchan Sonam Kapoor Aditi Rao HydariRishi KapoorSupriya PathakAtul KulkarniPavan MalhotraDivya DuttaDeepak DobriyalVijay RaazOm Puri Waheeda Rehman,A. R. Rahman,,
Raja Hindustani,https://wikipedia.org/wiki/Raja_Hindustani,Dharmesh Darshan,Ali MoraniKarim MoraniBunty Soorma,Dharmesh DarshanJaved Siddiqui (dialogues),Aamir KhanKarisma Kapoor,Songs:Nadeem-ShravanBackground score:Surinder Sodhi[1],₹5.75 crore[2],₹76.34 crore (US$21.55 million)[2]
Force,https://wikipedia.org/wiki/Force_(2011_film),Nishikant Kamat,Vipul Amrutlal Shah,Ritesh Shah,"John Abraham
Vidyut Jammwal
Genelia D'Souza
Raj Babbar",Songs:Harris JayarajLalit PanditBackground Score:Sameer Phaterpekar,₹28 crore[1],₹40 crore[1]
Saawariya,https://wikipedia.org/wiki/Saawariya,Sanjay Leela Bhansali,Sanjay Leela Bhansali,Prakash KapadiaVibhu Puri,Ranbir KapoorSonam KapoorRani MukerjiSalman KhanZohra Sehgal,Monty Sharma,₹45 crore[2],₹39.22 crore[2]
Pati Patni Aur Woh,https://wikipedia.org/wiki/Pati_Patni_Aur_Woh_(2019_film),Mudassar Aziz,Bhushan KumarRenu Ravi ChopraJuno ChopraKrishan Kumar,Mudassar Aziz,Kartik AaryanBhumi PednekarAnanya Panday,Score:John Stewart EduriSongs:Tanishk BagchiRochak KohliSachet–ParamparaTony KakkarLijo George-DJ Chetas,₹45 Crore[2],₹117.7 Crore[3]
Jahaan Chaar Yaar,https://wikipedia.org/wiki/Jahaan_Chaar_Yaar,Kamal Pandey[1],Vinod Bachchan,Kamal Pandey,"Swara Bhaskar
Meher Vij
Pooja Chopra
Shikha Talsania",Anand Raj AnandRashid Khan,,
Sachin,https://wikipedia.org/wiki/Sachin_(film),Santhosh Nair,Jude Agnel SudhirJuby Ninan,S. L. Puram Jayasurya,Dhyan SreenivasanAnna RajanAju Varghese,Shaan Rahman,,
Ishaqzaade,https://wikipedia.org/wiki/Ishaqzaade,Habib Faisal,Aditya Chopra,Habib Faisal,Arjun KapoorParineeti ChopraGauahar Khan,Original Songs:Amit TrivediBackground Score:Ranjit Barot,₹30 crore,₹70 crore
Raju Ban Gaya Gentleman,https://wikipedia.org/wiki/Raju_Ban_Gaya_Gentleman,Aziz Mirza,G. P. SippyVivek Vaswani (co-producer),Manoj Lalwani,Shah Rukh KhanAmrita SinghJuhi ChawlaNana Patekar,Jatin–Lalit,,₹3.44 crore (India)
Jawaani Jaaneman,https://wikipedia.org/wiki/Jawaani_Jaaneman,Nitin Kakkar,Jackky BhagnaniDeepshikha DeshmukhSaif Ali KhanJay Shewakramani,Hussain DalalAbbas Dalal,Saif Ali KhanAlaya FTabu,Score:Ketan SodhaSongs:Gourov-RoshinTanishk BagchiPrem-Hardeep,₹30–40 crore[3],₹44.77 crore[4][5]
Befikre,https://wikipedia.org/wiki/Befikre,Aditya Chopra,Aditya Chopra,Story and Screenplay:Aditya ChopraDialogues:Aditya ChopraSharat Katariya,Ranveer SinghVaani Kapoor,Songs:Vishal–ShekharBackground Score:Mikey McCleary,₹70 crores[1],₹103 crores[1]
"Amar, Akbar and Anthony",https://wikipedia.org/wiki/Amar_Akbar_Anthony,Manmohan Desai,Manmohan Desai,Kader Khan (dialogue)K. K. Shukla (scenario),Vinod KhannaRishi KapoorAmitabh BachchanNeetu SinghParveen BabiShabana AzmiNirupa RoyPran,Laxmikant–PyarelalAnand Bakshi (lyrics),,est. ₹155 million (equivalent to ₹4.3 billion or US$52 million in 2023)[3]
Street Dancer 3D,https://wikipedia.org/wiki/Street_Dancer_3D,Remo D'Souza,Bhushan KumarDivya Khosla KumarKrishan KumarLizelle D'Souza,Screenplay:Tushar HiranandaniJagdeep Sidhu (Additional)Dialogues:Farhad SamjiJagdeep Sidhu (Additional),Varun DhawanShraddha KapoorPrabhu DevaNora FatehiNaufal Azmir Khan,Sachin–JigarTanishk BagchiBadshahGuru RandhawaGurinder SeagalHarsh Upadhyay,₹70 crore[2],est. ₹97 crore[3]
Shabaash Mithu,https://wikipedia.org/wiki/Shabaash_Mithu,Srijit Mukherji,Ajit Andhare,Priya AvenVijay Maurya(dialogues),Taapsee Pannu,Salvage Audio Collective,₹48 crore[2],est. ₹2.89 crore [3]
King of Kotha,https://wikipedia.org/wiki/King_of_Kotha,Abhilash Joshiy,Dulquer SalmaanZee Studios,Abhilash N. Chandran,Dulquer SalmaanShabeer KallarakkalPrasannaGokul SureshAishwarya LekshmiNyla UshaChemban Vinod Jose,Songs:Jakes BejoyShaan RahmanScore:Jakes Bejoy,₹50 crore[2],est. ₹38.3 crore[3]
Lupt,https://wikipedia.org/wiki/Lupt,Prabhuraj,Lalit Kiri,Prabhuraj,Javed JaffreyVijay RaazNiki Aneja WaliaMeenakshi DixitKaran Anand,Vicky-Hardik,₹3.50 crore[1],₹1.57 crore[1]
Salaam Namaste,https://wikipedia.org/wiki/Salaam_Namaste,Siddharth Anand,Aditya Chopra,Abbas TyrewalaSiddharth Anand,"Saif Ali Khan
Preity Zinta","Songs:Vishal–Shekhar
Background Score:Salim–Sulaiman",₹110 million (US$1.3 million)[1],₹752 million (equivalent to ₹2.6 billion or US$31 million in 2023)[2]
Drive,https://wikipedia.org/wiki/Drive_(2019_film),Tarun Mansukhani,Hiroo Yash JoharKaran JoharApoorva Mehta,Tarun Mansukhani,Sushant Singh RajputJacqueline FernandezVikramjeet VirkSapna PabbiPankaj TripathiBoman Irani,Songs:Tanishk BagchiAmartya Bobo RahutJaved - MohsinScore:QARAN,,
The Accidental Prime Minister,https://wikipedia.org/wiki/The_Accidental_Prime_Minister,,,,,,,
Sukhee,https://wikipedia.org/wiki/Sukhee,Sonal Joshi,"Bhushan Kumar
Krishan Kumar
Vikram Malhotra
Shikhaa Sharma","Story:
Radhika Anand
Screenplay:
Paulomi Dutta
Dialogues:
Rupinder Inderjit","Shilpa Shetty
Amit Sadh
Dilnaz Irani
Kusha Kapila
Pavleen Gujral",Score:Karan KulkarniSong:Badshah - HitenArko,,₹1.65 crore[2]
Nil Battey Sannata,https://wikipedia.org/wiki/Nil_Battey_Sannata,Ashwiny Iyer Tiwari,"Aanand L. Rai
Ajay G Rai
Alan Mcalex","Ashwiny Iyer Tiwari
Neeraj Singh
Pranjal Choudhary
Nitesh Tiwari","Swara Bhaskar
Riya Shukla
Ratna Pathak
Pankaj Tripathi
Sanjay Suri",Rohan-Vinayak,,"₹69 million (US$830,000)[2]"
Earth,https://wikipedia.org/wiki/Earth_(1998_film),Deepa Mehta,Anne MassonDeepa Mehta,,"Aamir KhanRahul KhannaNandita Das 
Maia Sethna",A. R. Rahman,,
Bunty Aur Babli,https://wikipedia.org/wiki/Bunty_Aur_Babli,Shaad Ali,Aditya Chopra,Jaideep Sahni,Amitabh BachchanAbhishek BachchanRani Mukerji,Shankar–Ehsaan–Loy,₹14 crore,₹90.4 crore (equivalent to ₹307 crore or US$37 million in 2023)[1]
Dhadkan,https://wikipedia.org/wiki/Dhadkan,,,,,,,
Awarapan,https://wikipedia.org/wiki/Awarapan,Mohit Suri,Mukesh Bhatt,Shagufta Rafique,Emraan HashmiMrinalini SharmaShriya SaranAshutosh Rana,Songs:PritamScore:Raju Singh,,₹122.6 million [1]
Agent Vinod,https://wikipedia.org/wiki/Agent_Vinod_(2012_film),Sriram Raghavan,Saif Ali KhanDinesh Vijan,Sriram RaghavanArijit Biswas,Saif Ali KhanKareena Kapoor,Songs:PritamBackground Score:Daniel B. George,₹600 million (equivalent to ₹1.0 billion or US$12 million in 2023)[2],₹730 million (equivalent to ₹1.2 billion or US$15 million in 2023)[3]
Buddha in a Traffic Jam,https://wikipedia.org/wiki/Buddha_in_a_Traffic_Jam,Vivek Agnihotri,"Suresh Chukapalli
Vivek Agnihotri
Sharad Patel
Shreyanshi Patel
Pranay Chokshi
Ravi Agnihotri
(Supervising Producer)
Vikram Gupta
(Associate Producers)
Dream Cube
Sandeep Goel
Abhishek Mohunta
Pritika Idnani
Ritesh Patel",Vivek Agnihotri,Anupam KherArunoday SinghMahie GillAnchal DwivediPallavi Joshi,Rohit Sharma,,
Thar,https://wikipedia.org/wiki/Thar_(film),Raj Singh Chaudhary,Anil KapoorHarshvardhan Kapoor,Raj Singh Chaudhary,"Anil Kapoor
Harshvardhan Kapoor
Fatima Sana Shaikh
Mukti Mohan",Ajay Jayanthi,,
Janhit Mein Jaari,https://wikipedia.org/wiki/Janhit_Mein_Jaari,Jai Basantu Singh,Raaj ShaandilyaaVinod BhanushaliVimal LahotiKamlesh BhanushaliVishal GurnaniShradha Chandavarkar,Raaj ShaandilyaaShaan Yadav,Nushrratt BharucchaParitosh TripathiShaan YadavVijay RaazBrijendra KalaAnud Singh DhakaTinu Anand,Aman Pant,₹12 crore[2],est. ₹5.12 crore[3]
Socha Na Tha,https://wikipedia.org/wiki/Socha_Na_Tha,Imtiaz Ali,Dharmendra,Imtiaz Ali,Abhay DeolAyesha Takia,Sandesh Shandilya,,
Yodha,https://wikipedia.org/wiki/Yodha_(1991_film),Rahul Rawail,Karim MoraniBunty Soorma,K. K. Singh,Sunny DeolSanjay DuttSangeeta BijlaniParesh RawalDanny Denzongpa,Bappi Lahiri,₹2.85 crore[1],₹12.95 crore (equivalent to ₹138 crore or US$17 million in 2023)[1]
Half Girlfriend,https://wikipedia.org/wiki/Half_Girlfriend_(film),Mohit Suri,Shobha KapoorEkta KapoorMohit SuriChetan Bhagat,Screenplay:Tushar HiranandaniDialogues:Ishita Moitra,Arjun KapoorShraddha Kapoor,Score:Raju SinghSongs:MithoonTanishk BagchiRishi RichFarhan SaeedAmi MishraRahul Mishra,₹35 crore[2],₹97.7 crore[3]
Malamaal Weekly,https://wikipedia.org/wiki/Malamaal_Weekly,Priyadarshan,Suresh Balaje,,"Paresh Rawal
Om Puri
Riteish Deshmukh
Rajpal Yadav
Asrani",Songs:Javed AliScore:Uttankk V. VorraKannan,₹7 crore[1],₹42.76 crore[1]
Panga,https://wikipedia.org/wiki/Panga_(film),Ashwiny Iyer Tiwari,Fox Star Studios,Nikhil MehrohtraAshwiny Iyer Tiwari,Kangana RanautJassi GillYagya BhasinRicha ChaddaNeena Gupta,Songs:Shankar-Ehsaan-LoyScore:Sanchit BalharaAnkit Balhara,₹49 crore[2],₹41.71 crore[3]
Total Dhamaal,https://wikipedia.org/wiki/Total_Dhamaal,Indra Kumar,"Ajay Devgn
Ashok Thakeria
Indra Kumar
Markand Adhikari
Anand Pandit",,Ajay DevgnAnil KapoorMadhuri DixitRiteish DeshmukhArshad WarsiJaaved Jaaferi,Songs: Gourov-RoshinScore:Sandeep Shirodkar,₹90–100 crore[3],"₹228.27
 crore[4]"
Bob Biswas,https://wikipedia.org/wiki/Bob_Biswas,Diya Annapurna Ghosh,Gauri KhanSujoy GhoshGaurav Verma,,Abhishek Bachchan Chitrangada Singh,Songs:Vishal-ShekharAnupam RoyClinton CerejoBianca GomesBackground Score:Clinton Cerejo,,
Ek Hasina Thi,https://wikipedia.org/wiki/Ek_Hasina_Thi,,,,,,,
Satyameva Jayate,https://wikipedia.org/wiki/Satyameva_Jayate_(2018_film),Milap Zaveri,"Bhushan Kumar
Krishan Kumar
Monisha Advani
Madhu Bhojwani
Nikkhil Advani",Milap Milan Zaveri,John AbrahamManoj BajpayeeAisha SharmaAmruta Khanvilkar,Songs:Sajid–WajidTanishk BagchiRochak KohliArko Pravo MukherjeeScore:Sanjoy Chowdhury,₹38 crore,est. ₹110 crore[2]
Shamitabh,https://wikipedia.org/wiki/Shamitabh,R. Balki,Sunil LullaGauri ShindeRakesh JhunjhunwalaR. K. DamaniAbhishek Bachchan,R. Balki,"Dhanush
Amitabh BachchanAkshara Haasan",Ilaiyaraaja,₹45 crore[5],₹37 crore[6]
Roy,https://wikipedia.org/wiki/Roy_(2015_film),Vikramjit Singh,Bhushan KumarDivya Khosla KumarKrishan Kumar,Vikramjit Singh,Arjun RampalJacqueline FernandezRanbir Kapoor,Songs:Ankit TiwariAmaal MallikMeet Bros AnjjanBackground Score:Sanjoy Chowdhury,₹50 crore [1][better source needed] Note: figure contains print and advertising costs.,est. ₹56 crore[2]
Khiladi 786,https://wikipedia.org/wiki/Khiladi_786,Ashish R Mohan,Twinkle KhannaHimesh ReshammiyaSunil Lulla,Dialogues: Bunty Rathore,Mithun ChakrabortyAkshay KumarRaj BabbarAsinHimesh ReshammiyaMukesh Rishi,Himesh Reshammiya,₹63 crore[1],₹97 crore[1]
Badmaash Company,https://wikipedia.org/wiki/Badmaash_Company,Parmeet Sethi,Aditya Chopra,Parmeet Sethi,Shahid Kapoor Anushka SharmaVir DasMeiyang ChangShalini ChandranAnupam Kher,Songs:PritamScore:Julius Packiam,,₹530 million[1]
Sarkar Raj,https://wikipedia.org/wiki/Sarkar_Raj,Ram Gopal Varma,Ram Gopal VarmaPraveen Nischol,Prashant Pandey,Amitabh BachchanAbhishek BachchanAishwarya Rai BachchanDilip PrabhavalkarSupriya Pathak,Score:Amar MohileSongs:Bapi-Tutul,₹ 280 million,₹ 594.6 million[1]
Tottaa Pataaka Item Maal,https://wikipedia.org/wiki/Totaa_Pataaka_Item_Maal,,,,,,,
Dolly Kitty and Those Twinkling Stars,https://wikipedia.org/wiki/Dolly_Kitty_and_Those_Twinkling_Stars,,,,,,,
