ID,Movie_Name,URL,Director,Producer,Writer,Casting,Budget,Box_Office,Duration,Year,Rating,Rating_count,Genre,Inflated_Box_Office,Inflated_Budget,Performance,Profit
My_Name_Is_Khan,My Name Is Khan,https://wikipedia.org/wiki/My_Name_Is_Khan,Karan Johar,"Hiroo Yash Johar, Gauri Khan",Shibani Bathija,"Shah Rukh Khan, Kajol",85.0,200.0,2h 45m,2010,7.9,117000,Drama,452.18,192.18,Superhit,2.3529411764705883
Brahm%C4%81stra:_Part_One_%E2%80%93_Shiva,Brahmastra Part One: Shiva,https://wikipedia.org/wiki/Brahm%C4%81stra:_Part_One_%E2%80%93_Shiva,Ayan Mukerji,"Karan Johar, Apoorva Mehta, Hiroo Yash Johar, Namit Malhotra, Ayan Mukerji, Ranbir Kapoor, Marijke DeSouza","Ayan Mukerji, Hussain Dalal","Amitabh Bachchan, Ranbir Kapoor, Alia Bhatt, Mouni Roy, Nagarjuna",388.0,425.0,2h 47m,2022,5.6,112000,Fantasy,477.53,435.96,Average,1.0953608247422681
Gangs_of_Wasseypur_%E2%80%93_Part_1,Gangs of Wasseypur,https://wikipedia.org/wiki/Gangs_of_Wasseypur_%E2%80%93_Part_1,Anurag Kashyap,"Anurag Kashyap, Sunil Bohra, Viacom18 Motion Pictures","Akhilesh Jaiswal, Anurag Kashyap, Sachin K Ladia","Manoj Bajpayee, Richa Chadda, Reema Sen, Piyush Mishra, Nawazuddin Siddiqui, Jaideep Ahlawat, Vineet Kumar Singh, Pankaj Tripathi, Jameel Khan, Huma Qureshi, Anurita Jha, Tigmanshu Dhulia",9.2,35.0,5h 21m,2012,8.2,105000,Crime,70.43,18.51,Superhit,3.804347826086957
Andhadhun,Andhadhun,https://wikipedia.org/wiki/Andhadhun,Sriram Raghavan,"Sudhanshu Vats, Ajit Andhare, Gaurav Nanda, Ashok Vasodia, Kewal Garg, Sanjay Routray","Sriram Raghavan, Hemanth M Rao, Pooja Ladha Surti, Arijit Biswas, Yogesh Chandekar","Tabu, Ayushmann Khurrana, Radhika Apte, Anil Dhawan",32.0,457.0,2h 19m,2018,8.2,104000,Thriller,648.26,45.39,All Time BlockBuster,14.28125
Swades,"Swades: We, the People",https://wikipedia.org/wiki/Swades,Ashutosh Gowariker,Ashutosh Gowariker,,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal",25.0,35.0,3h 30m,2004,8.2,99000,Drama,112.25,80.18,Semihit,1.4
Bajrangi_Bhaijaan,Bajrangi Bhaijaan,https://wikipedia.org/wiki/Bajrangi_Bhaijaan,Kabir Khan,"Salman Khan, Rockline Venkatesh, Kabir Khan",,"Salman Khan, Harshaali Malhotra, Kareena Kapoor Khan, Nawazuddin Siddiqui",82.5,944.0,2h 43m,2015,8.1,99000,Drama,1594.87,139.38,All Time BlockBuster,11.442424242424243
Jawan_(film),Jawan,https://wikipedia.org/wiki/Jawan_(film),Atlee,"Gauri Khan, Gaurav Verma",,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone",300.0,1148.0,2h 49m,2023,7.0,98000,Action,1216.88,318.0,Superhit,3.8266666666666667
Drishyam,Drishyam,https://wikipedia.org/wiki/Drishyam,Jeethu Joseph,Antony Perumbavoor,Jeethu Joseph,"Mohanlal, Meena, Asha Sarath, Ansiba Hassan, Esther Anil, Siddique",4.25,75.0,2h 43m,2015,8.2,96000,Thriller,126.71,7.18,Blockbuster,17.647058823529413
Munna_Bhai_M.B.B.S.,Munna Bhai M.B.B.S.,https://wikipedia.org/wiki/Munna_Bhai_M.B.B.S.,Rajkumar Hirani,Vidhu Vinod Chopra,,"Sunil Dutt, Sanjay Dutt, Gracy Singh, Jimmy Sheirgill, Arshad Warsi, Rohini Hattangadi, Boman Irani",11.0,56.0,2h 36m,2003,8.1,89000,Comedy,190.38,37.4,Blockbuster,5.090909090909091
Barfi!,Barfi!,https://wikipedia.org/wiki/Barfi!,Anurag Basu,"Ronnie Screwvala, Siddharth Roy Kapur","Anurag Basu, Sanjeev Datta, Tani Basu","Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz",35.0,175.0,2h 31m,2012,8.1,87000,Drama,352.13,70.43,Blockbuster,5.0
Zindagi_Na_Milegi_Dobara,Zindagi Na Milegi Dobara,https://wikipedia.org/wiki/Zindagi_Na_Milegi_Dobara,Zoya Akhtar,"Farhan Akhtar, Ritesh Sidhwani",,"Hrithik Roshan, Abhay Deol, Farhan Akhtar, Katrina Kaif, Kalki Koechlin",45.0,153.0,2h 35m,2011,8.2,87000,Drama,326.34,95.98,Superhit,3.4
Chak_De!_India,Chak De! India,https://wikipedia.org/wiki/Chak_De!_India,Shimit Amin,Aditya Chopra,Jaideep Sahni,"Shah Rukh Khan, Vidya Malvade, Shilpa Shukla, Sagarika Ghatge, Chitrashi Rawat, Anjan Srivastav, Vibha Chibber",20.0,109.0,2h 33m,2007,8.1,85000,Sports,293.51,53.86,Blockbuster,5.45
A_Wednesday!,A Wednesday,https://wikipedia.org/wiki/A_Wednesday!,Neeraj Pandey,"Ronnie Screwvala, Shital Bhatia, Anjum Rizvi",Neeraj Pandey,"Naseeruddin Shah, Anupam Kher, Jimmy Sheirgill, Aamir Bashir, Deepal Shaw",3.0,12.0,1h 44m,2008,8.1,83000,Thriller,30.48,7.62,Blockbuster,4.0
Sooryavanshi,Sooryavanshi,https://wikipedia.org/wiki/Sooryavanshi,Rohit Shetty,"Hiroo Yash Johar, Aruna Bhatia, Karan Johar, Apoorva Mehta, Rohit Shetty",,"Akshay Kumar, Katrina Kaif, Jackie Shroff, Ajay Devgan, Ranveer Singh",160.0,295.0,2h 25m,2021,5.9,79000,Action,351.35,190.56,Hit,1.84375
Dilwale_Dulhania_Le_Jayenge,Dilwale Dulhania Le Jayenge,https://wikipedia.org/wiki/Dilwale_Dulhania_Le_Jayenge,Aditya Chopra,Yash Chopra,Aditya Chopra,"Shah Rukh Khan, Kajol",4.0,200.0,3h 9m,1995,8.0,78000,Romance,1083.68,21.67,All Time BlockBuster,50.0
Dil_Chahta_Hai,Dil Chahta Hai,https://wikipedia.org/wiki/Dil_Chahta_Hai,Farhan Akhtar,Ritesh Sidhwani,Farhan Akhtar,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta, Sonali Kulkarni, Dimple Kapadia",8.0,40.0,3h 3m,2001,8.1,76000,Drama,152.79,30.56,Blockbuster,5.0
Kal_Ho_Naa_Ho,Kal Ho Naa Ho,https://wikipedia.org/wiki/Kal_Ho_Naa_Ho,Nikhil Advani,Yash Johar,Niranjan Iyengar,"Jaya Bachchan, Shah Rukh Khan, Saif Ali Khan, Preity Zinta",26.0,86.0,3h 6m,2003,7.9,76000,Romance,292.36,88.39,Superhit,3.3076923076923075
Uri:_The_Surgical_Strike,Uri: The Surgical Strike,https://wikipedia.org/wiki/Uri:_The_Surgical_Strike,Aditya Dhar,Ronnie Screwvala,Aditya Dhar,"Vicky Kaushal, Yami Gautam, Paresh Rawal, Kirti Kulhari, Rajit Kapur, Mohit Raina, Akashdeep Arora, Manasi Parekh, Thiago Juliaci",25.0,342.0,2h 18m,2019,8.2,73000,Action,457.67,33.46,All Time BlockBuster,13.68
Kick_(2014_film),Kick,https://wikipedia.org/wiki/Kick_(2014_film),Sajid Nadiadwala,Sajid Nadiadwala,Rajat Arora,"Salman Khan, Jacqueline Fernandez, Randeep Hooda, Nawazuddin Siddiqui, Mithun Chakraborty",140.0,402.0,2h 26m,2014,6.0,73000,Action,719.92,250.72,Superhit,2.8714285714285714
Bhaag_Milkha_Bhaag,Bhaag Milkha Bhaag,https://wikipedia.org/wiki/Bhaag_Milkha_Bhaag,Rakeysh Omprakash Mehra,"Rajiv Tandon, Sudhanshu Vats, Raghav Bahl, Maitrayee Dasgupta, P. S. Bharathi",Prasoon Joshi,Farhan Akhtar,41.0,210.0,3h 6m,2013,8.2,73000,Biographical,398.64,77.83,Blockbuster,5.121951219512195
Hotel_Mumbai,Hotel Mumbai,https://wikipedia.org/wiki/Hotel_Mumbai,Anthony Maras,"Basil Iwanyk, Gary Hamilton, Mike Gabrawy, Julie Ryan, Andrew Ogilvie, Jomon Thomas","John Collee, Anthony Maras","Dev Patel, Armie Hammer, Nazanin Boniadi, Tilda Cobham Hervey, Anupam Kher, Jason Isaacs",50.0,2.0,2h 3m,2018,7.6,72000,Thriller,2.84,70.93,Flop,0.04
M.S._Dhoni:_The_Untold_Story,M.S. Dhoni: The Untold Story,https://wikipedia.org/wiki/M.S._Dhoni:_The_Untold_Story,Neeraj Pandey,"Arun Pandey, Fox Star Studios","Neeraj Pandey, Dilip Jha","Sushant Singh Rajput, Disha Patani, Kiara Advani, Anupam Kher, Bhumika Chawla, Kranti Prakash Jha, Alok Pandey",104.0,216.0,3h 4m,2016,8.0,69000,Biographical,344.27,165.76,Superhit,2.076923076923077
Queen_(2013_film),Queen,https://wikipedia.org/wiki/Queen_(2013_film),Vikas Bahl,"Anurag Kashyap, Vikramaditya Motwane",Anvita Dutt Guptan,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon",23.0,95.0,2h 26m,2013,8.1,69000,Drama,180.34,43.66,Blockbuster,4.130434782608695
Ghajini_(2008_film),Ghajini,https://wikipedia.org/wiki/Ghajini_(2008_film),A. R. Murugadoss,"Tagore B. Madhu, Madhu Mantena",,"Aamir Khan, Asin, Jiah Khan",65.0,232.0,3h 6m,2008,7.3,67000,Thriller,589.36,165.12,Superhit,3.5692307692307694
Kahaani,Kahaani,https://wikipedia.org/wiki/Kahaani,Sujoy Ghosh,"Sujoy Ghosh, Kushal Kantilal Gada",,"Vidya Balan, Parambrata Chatterjee, Nawazuddin Siddiqui, Indraneil Sengupta, Saswata Chatterjee",8.0,104.0,2h 2m,2012,8.1,66000,Thriller,209.27,16.1,Blockbuster,13.0
OMG_%E2%80%93_Oh_My_God!,OMG: Oh My God!,https://wikipedia.org/wiki/OMG_%E2%80%93_Oh_My_God!,Umesh Shukla,"Akshay Kumar, B. K. Modi, Vikram Malhotra","Umesh Shukla, Saumya Joshi, Bhavesh Mandalia","Paresh Rawal, Akshay Kumar, Mithun Chakraborty",20.0,150.0,2h 5m,2012,8.1,66000,Comedy,301.83,40.24,All Time BlockBuster,7.5
