Movie_Name,Duration,Year,Rating,Rating_count
Jai Ho,2h 15m,2014,5,21000
Dabangg 3,2h 40m,2019,3,20000
Baadshah,2h 55m,1999,6.8,20000
Student of the Year,2h 26m,2012,5.3,20000
Gol Maal,2h,1979,8.5,20000
Dil Dhadakne Do,2h 50m,2015,7,20000
Manjhi: The Mountain Man,2h,2015,8,20000
Wazir,1h 43m,2016,7.1,20000
Dabangg 2,2h,2012,4.8,20000
Chhalaang,2h 16m,2020,6.7,20000
Hum Dil De Chuke Sanam,3h 8m,1999,7.4,20000
Ready,2h 25m,2011,4.9,20000
Raat Akeli Hai,2h 29m,2020,7.2,20000
Guzaarish,2h 6m,2010,7.4,20000
Kabhi Haan Kabhi Naa,2h 38m,1994,7.6,20000
Starfish,2h 1m,2023,4.6,19000
Maidaan,3h 1m,2024,8,19000
Golmaal Fun Unlimited,2h 30m,2006,7.5,19000
Raid,2h 2m,2018,7.4,19000
Mrs. Serial Killer,1h 46m,2020,4,19000
Raajneeti,2h 43m,2010,7.1,19000
Singham,2h 23m,2011,6.8,19000
Once Upon a Time in Mumbaai,2h 14m,2010,7.4,19000
Dr. G,2h 4m,2022,6.6,19000
Lootcase,2h 12m,2020,7.5,19000
Dhamaal,2h 16m,2007,7.5,18000
Meenakshi Sundareshwar,2h 20m,2021,6.8,18000
Section 375,2h 4m,2019,8.1,18000
Band Baaja Baaraat,2h 19m,2010,7.2,18000
Oye Lucky! Lucky Oye!,2h 5m,2008,7.7,18000
Gangaajal,2h 37m,2003,7.8,18000
Kaminey,2h 10m,2009,7.4,18000
October,1h 55m,2018,7.5,18000
Torbaaz,2h 13m,2020,5.1,18000
Nayak: The Real Hero,3h 7m,2001,7.8,18000
Ram Setu,2h 20m,2022,5.3,18000
Mission Raniganj,2h 14m,2023,7.1,18000
Karwaan,1h 54m,2018,7.6,18000
Shahid,2h 9m,2012,8.2,18000
Mission Mangal,2h 10m,2019,6.5,18000
Border,2h 56m,1997,7.9,18000
Iqbal,2h 12m,2005,8.1,18000
Baghban,3h 1m,2003,7.4,18000
Shaadi Mein Zaroor Aana,2h 17m,2017,7.5,18000
Race 2,2h 30m,2013,5.3,18000
Sarkar,2h 4m,2005,7.6,18000
Sam Bahadur,2h 30m,2023,7.7,17000
The Legend of Bhagat Singh,2h 35m,2002,8.1,17000
Garam Masala,2h 26m,2005,6.8,17000
Kalank,2h 46m,2019,3.6,17000
Love Aaj Kal,2h 8m,2009,6.8,17000
Mujhse Shaadi Karogi,2h 43m,2004,6.7,17000
Lootera,2h 16m,2013,7.4,17000
Hungama,2h 33m,2003,7.6,17000
Satya,2h 50m,1998,8.3,17000
Ajab Prem Ki Ghazab Kahani,2h 30m,2009,6.4,17000
Sanam Teri Kasam,2h 34m,2016,7.6,17000
Attack,2h 1m,2022,6.8,17000
The Big Bull,2h 33m,2021,5.6,17000
Chalte Chalte,2h 47m,2003,6.5,17000
Dream Girl,2h 12m,2019,7,17000
Khakee,2h 54m,2004,7.4,17000
Mr. India,2h 59m,1987,7.7,17000
Singh Is Kinng,2h 15m,2008,5.8,17000
Kaho Naa... Pyaar Hai,2h 52m,2000,6.9,17000
Tanu Weds Manu,1h 53m,2011,6.8,17000
Hit: The First Case,2h 12m,2022,6.8,17000
Hasee Toh Phasee,2h 21m,2014,6.8,16000
72 Hoorain,1h 20m,2019,7.1,16000
Swatantra Veer Savarkar,2h 56m,2024,7.7,16000
Bawaal,2h 17m,2023,6.6,16000
Manikarnika: The Queen of Jhansi,2h 28m,2019,6.4,16000
Dostana,2h 25m,2008,6.4,16000
Company,2h 35m,2002,8,16000
Bala,2h 13m,2019,7.3,16000
Pyaar Ka Punchnama 2,2h 17m,2015,7.3,16000
Race,2h 29m,2008,6.7,16000
Pardes,3h 11m,1997,6.9,16000
Satyameva Jayate 2,2h 18m,2021,3.4,16000
Psycho Raman,2h 13m,2016,7.3,16000
Karan Arjun,2h 55m,1995,6.8,16000
Housefull 2,2h 25m,2012,5.4,16000
Gulaal,2h 20m,2009,8,16000
Heyy Babyy,2h 24m,2007,6.1,16000
Housefull,2h 24m,2010,5.5,16000
Zara Hatke Zara Bachke,2h 12m,2023,6,16000
Gadar: Ek Prem Katha,2h 50m,2001,7.3,16000
Ek Villain Returns,2h 9m,2022,4.4,16000
Go Goa Gone,1h 48m,2013,6.6,16000
Shikara,1h 58m,2020,3.4,15000
Water,1h 57m,2005,7.7,15000
Chandigarh Kare Aashiqui,1h 57m,2021,6.8,15000
Cocktail,2h 26m,2012,6.3,15000
Asoka,2h 56m,2001,6.4,15000
Kedarnath,1h 56m,2018,6.8,15000
AK vs AK,1h 48m,2020,6.9,15000
Hum Tum,2h 22m,2004,7,15000
